turno,candidato,n,chi2,df,p_value,max_deviation_pct
1,13,471009,15.5285971181018,9,0.0774025227836334,1.04
1,22,470850,12.8217903791016,9,0.170837249542461,0.96
2,13,471008,10.8785753108227,9,0.284123936948644,1.26
2,22,470869,5.79050436533303,9,0.760688619858988,0.65
