cidade,n_obs,wall_seconds,per_iter_ms,per_iter_per_obs_us
Brasilia,6748,152.293210983276,761.466054916382,112.843220941965
Sao Paulo,26288,1333.8059720993,6669.02986049652,253.691032429113
